level,benchmark,model,distribution,persistence,n,valid,lower_whisker,q1,median,q3,upper_whisker
0.01,VaR,GARCH,normal,high,500,9986,0.3838829415850108,0.6036893787983657,0.6798055577979025,0.7507021773550406,0.9708121179443628
0.01,VaR,GARCH,normal,high,1000,10000,0.4541818701617516,0.6227135256639692,0.6799130058430123,0.7352176047364135,0.9039354270126122
0.01,VaR,GARCH,normal,high,2500,10000,0.5116299442775805,0.6313635347374159,0.672142130252662,0.7115677333545452,0.8311971106713602
0.01,VaR,GARCH,normal,high,5000,10000,0.5287848975354332,0.6287669201501935,0.6634165130537608,0.6956079217300046,0.794603129817741
0.01,VaR,GARCH,normal,low,500,9967,0.4000714705699993,0.6096731405971006,0.6847426063747104,0.7503701525226704,0.9613708889182324
0.01,VaR,GARCH,normal,low,1000,9995,0.4594877994641144,0.6251019540440418,0.6828637077563736,0.7356970794805953,0.901222337450918
0.01,VaR,GARCH,normal,low,2500,10000,0.5081426517341989,0.6303836422641746,0.6726712881809589,0.7120844610869883,0.834592930605307
0.01,VaR,GARCH,normal,low,5000,10000,0.5293958672942982,0.6285051035952524,0.662438126775605,0.6946281036392102,0.7930864704253378
0.01,VaR,GARCH,t4,high,500,9985,0.1926894719892812,0.5847356460361353,0.6961743013546237,0.8489910636640878,1.2452065824060246
0.01,VaR,GARCH,t4,high,1000,10000,0.2702007191428051,0.635717352426309,0.7379586780165176,0.8795954535058293,1.2449319727531238
0.01,VaR,GARCH,t4,high,2500,10000,0.3832547778765262,0.6891679527797377,0.7776283867834468,0.8941195891393654,1.2015362078431633
0.01,VaR,GARCH,t4,high,5000,10000,0.4749079392973872,0.7195682094686633,0.7902846178678149,0.8833877515470585,1.128953369862193
0.01,VaR,GARCH,t4,low,500,9957,0.1757922893660258,0.5876970290007357,0.7020815640304156,0.8636649342713171,1.2769129043207703
0.01,VaR,GARCH,t4,low,1000,9990,0.2573547953547835,0.635675225042066,0.742460580494089,0.8919825686468281,1.2753697042695684
0.01,VaR,GARCH,t4,low,2500,10000,0.3727258388993091,0.6880363499395955,0.7796378285607092,0.9041927282004993,1.2276012394989806
0.01,VaR,GARCH,t4,low,5000,10000,0.4677789256918408,0.7185943350235222,0.7932487732867173,0.890316374458981,1.1477817972827171
0.01,VaR,GARCH,t8,high,500,9987,0.3029237134093626,0.5774198192788811,0.6663175389505264,0.7615909402007179,1.0377289228834403
0.01,VaR,GARCH,t8,high,1000,10000,0.3731266145827371,0.6078296610673072,0.6829388629920827,0.7651122334491498,1.0006229988774362
0.01,VaR,GARCH,t8,high,2500,10000,0.454624198370722,0.6294574853617633,0.6882812823297337,0.746615571906882,0.9222811890865747
0.01,VaR,GARCH,t8,high,5000,10000,0.5046835537008268,0.6399127326431998,0.685134069295773,0.7306344234371078,0.8665598144489348
0.01,VaR,GARCH,t8,low,500,9961,0.296014693374562,0.577892139824463,0.673116691763042,0.7668470282333311,1.0498400969193589
0.01,VaR,GARCH,t8,low,1000,9997,0.3733272164294009,0.6075321715437069,0.6844381768236838,0.7641099396829769,0.9988080165969888
0.01,VaR,GARCH,t8,low,2500,10000,0.4522791758026282,0.6291671830969253,0.6885631851907463,0.7472767282273769,0.9233357841766135
0.01,VaR,GARCH,t8,low,5000,10000,0.5013315830754226,0.6390549142680524,0.6849572058021508,0.7311328507163131,0.869052557057087
0.01,VaR,GJR-GARCH,normal,high,500,9996,0.4211041821717365,0.6161560415640022,0.68422121925317,0.7465202781931959,0.9417677773982334
0.01,VaR,GJR-GARCH,normal,high,1000,10000,0.4823877141746427,0.6351352151905749,0.6887416260779924,0.7370316164288647,0.8897471656650856
0.01,VaR,GJR-GARCH,normal,high,2500,10000,0.5346846392050638,0.6435656813828317,0.6810302453936454,0.7165762170020324,0.8256457547699246
0.01,VaR,GJR-GARCH,normal,high,5000,10000,0.5504327977294999,0.6418036778063199,0.6736318745738084,0.7027703378198036,0.7927129527860945
0.01,VaR,GJR-GARCH,normal,low,500,9998,0.4367361344684361,0.6233076971536371,0.6887148544495798,0.74769320106945,0.9336640128399804
0.01,VaR,GJR-GARCH,normal,low,1000,10000,0.487393411091447,0.6361288825607234,0.6901760862037314,0.7353442631051171,0.8838293476483289
0.01,VaR,GJR-GARCH,normal,low,2500,10000,0.5339034968295084,0.6431207951796507,0.6811572322813941,0.7162149071001874,0.8244257961942979
0.01,VaR,GJR-GARCH,normal,low,5000,10000,0.5488689678142724,0.6405512678850863,0.6723199268299636,0.7019735874189368,0.793947442838462
0.01,VaR,GJR-GARCH,t4,high,500,9998,0.2526995057378999,0.5912751968179956,0.6873798002173783,0.8174558299505413,1.1565285742030302
0.01,VaR,GJR-GARCH,t4,high,1000,10000,0.3188050793078336,0.6378118368360258,0.729827358432023,0.852457034365664,1.1739486607572822
0.01,VaR,GJR-GARCH,t4,high,2500,10000,0.4246993703878371,0.6897983888744513,0.7682217547924943,0.8683636461194902,1.1350764943345246
0.01,VaR,GJR-GARCH,t4,high,5000,10000,0.5115694929895742,0.7199830487268489,0.7822794004407835,0.8599598370515922,1.0694521511239137
0.01,VaR,GJR-GARCH,t4,low,500,9998,0.2472818654201053,0.5979036048571333,0.6992954260923141,0.8329869576351473,1.1848230880357151
0.01,VaR,GJR-GARCH,t4,low,1000,10000,0.3100985604280057,0.6394906189887072,0.7339171592629528,0.8653759496995045,1.2040923716757237
0.01,VaR,GJR-GARCH,t4,low,2500,10000,0.4086532002841446,0.6899778179931956,0.7719975273821509,0.8785602849397811,1.1607890817309146
0.01,VaR,GJR-GARCH,t4,low,5000,10000,0.5033369488185435,0.7211219997240447,0.7840822314241869,0.8690326211400436,1.0899104729467368
0.01,VaR,GJR-GARCH,t8,high,500,9999,0.3416433209461999,0.5904602455164646,0.6700968156292558,0.756407832027099,1.0050407181322023
0.01,VaR,GJR-GARCH,t8,high,1000,10000,0.4025782473509119,0.6162588463039411,0.6853975608852897,0.7588098673353331,0.9723594808237602
0.01,VaR,GJR-GARCH,t8,high,2500,10000,0.4818242799977832,0.6394502620056646,0.6923771210270706,0.7446121396932919,0.9019762588502362
0.01,VaR,GJR-GARCH,t8,high,5000,10000,0.5255388030939252,0.6490908062869978,0.6906422491524111,0.731638505664975,0.8550940824083146
0.01,VaR,GJR-GARCH,t8,low,500,9999,0.3438110226490506,0.5928597074884911,0.6758909651047186,0.7600785230349705,1.0108041566884225
0.01,VaR,GJR-GARCH,t8,low,1000,10000,0.4152726551859873,0.6196464014218361,0.6882441843345253,0.7569823748007714,0.9627107400294612
0.01,VaR,GJR-GARCH,t8,low,2500,10000,0.479383992348134,0.6383760681030746,0.6932921252134858,0.7444795627337613,0.903159797205179
0.01,VaR,GJR-GARCH,t8,low,5000,10000,0.5232096961552973,0.6484518393459092,0.6900592991471526,0.7321124256341057,0.8575147790420774
0.01,ES,GARCH,normal,high,500,9986,0.0460497256397894,0.39588694100576144,0.5000861418407274,0.6294119894725015,0.9796106547599446
0.01,ES,GARCH,normal,high,1000,10000,0.2112086861424707,0.43000440932485606,0.5068019919024165,0.5902858110280695,0.8306240770924449
0.01,ES,GARCH,normal,high,2500,10000,0.3120051807138778,0.46207104719986325,0.5111966071364502,0.5629617633755111,0.7137127944849087
0.01,ES,GARCH,normal,high,5000,10000,0.3620813566023148,0.47609418732456604,0.5142597884762723,0.5521162035267573,0.6658780489833784
0.01,ES,GARCH,normal,low,500,9966,0.0891401569803987,0.41688595937373607,0.5217865879511026,0.6533574161042661,1.0073541037463225
0.01,ES,GARCH,normal,low,1000,9995,0.234885902163039,0.4471601921711408,0.5223489637726825,0.6062108402671347,0.8445008796307871
0.01,ES,GARCH,normal,low,2500,10000,0.3251119153748635,0.4716449085374979,0.5192463841302848,0.5702017345091671,0.7175855885611491
0.01,ES,GARCH,normal,low,5000,10000,0.3675500937191555,0.48052503920684964,0.517996297251373,0.5561785423688994,0.6686396223218252
0.01,ES,GARCH,t4,high,500,9986,0.1403643326884743,0.3573011122530748,0.4220700272000445,0.5173077462151427,0.7565506177473251
