model,distribution,persistence,n,rep,z_xi,z_ce
GARCH,normal,high,5000.000000,4.000000,-0.056396,1.027021
GARCH,normal,high,5000.000000,5.000000,0.391742,0.923837
GARCH,normal,high,5000.000000,6.000000,0.314563,-0.393883
GARCH,normal,high,5000.000000,7.000000,1.040771,-0.211937
GARCH,normal,high,5000.000000,8.000000,-1.129326,-0.801488
GARCH,normal,high,5000.000000,9.000000,-0.384415,-0.394609
GARCH,normal,high,5000.000000,10.000000,2.579407,1.553780
GARCH,normal,high,5000.000000,11.000000,0.742429,0.237863
GARCH,normal,high,5000.000000,12.000000,1.866203,1.059942
GARCH,normal,high,5000.000000,13.000000,0.881239,0.908408
GARCH,normal,high,5000.000000,14.000000,0.887177,-0.613879
GARCH,normal,high,5000.000000,15.000000,-0.830810,-0.588380
GARCH,normal,high,5000.000000,16.000000,0.490639,-0.617124
GARCH,normal,high,5000.000000,17.000000,1.726331,0.883093
GARCH,normal,high,5000.000000,18.000000,0.191278,0.496568
GARCH,normal,high,5000.000000,19.000000,0.412984,0.039808
GARCH,normal,high,5000.000000,20.000000,-0.448170,0.082874
GARCH,normal,high,5000.000000,21.000000,0.061569,-0.543689
GARCH,normal,high,5000.000000,22.000000,-0.520615,-0.393453
GARCH,normal,high,5000.000000,23.000000,1.027687,0.102616
GARCH,normal,high,5000.000000,24.000000,0.096574,-0.928458
GARCH,normal,high,5000.000000,25.000000,-0.494596,-0.957770
GARCH,normal,high,5000.000000,26.000000,0.661582,0.208183
GARCH,normal,high,5000.000000,27.000000,-0.145253,-0.080850
GARCH,normal,high,5000.000000,28.000000,0.962220,0.535875
GARCH,normal,high,5000.000000,29.000000,0.178696,1.316945
GARCH,normal,high,5000.000000,30.000000,1.022062,0.611853
GARCH,normal,high,5000.000000,31.000000,-0.057955,-0.332633
GARCH,normal,high,5000.000000,32.000000,1.283358,1.041625
GARCH,normal,high,5000.000000,33.000000,0.634614,0.423158
GARCH,normal,high,5000.000000,34.000000,1.324919,-0.058121
GARCH,normal,high,5000.000000,35.000000,-1.064885,-0.961986
GARCH,normal,high,5000.000000,36.000000,-1.390322,-0.559707
GARCH,normal,high,5000.000000,37.000000,-0.417196,-1.145939
GARCH,normal,high,5000.000000,38.000000,-0.098460,0.037171
GARCH,normal,high,5000.000000,39.000000,-0.585854,1.425884
GARCH,normal,high,5000.000000,40.000000,-0.094962,0.164700
GARCH,normal,high,5000.000000,41.000000,-0.273273,1.125541
GARCH,normal,high,5000.000000,42.000000,1.368854,1.461819
GARCH,normal,high,5000.000000,43.000000,-1.649171,-1.736510
GARCH,normal,high,5000.000000,44.000000,2.766397,2.776786
GARCH,normal,high,5000.000000,45.000000,-0.060060,-1.090084
GARCH,normal,high,5000.000000,46.000000,1.361791,0.387953
GARCH,normal,high,5000.000000,47.000000,1.792798,0.354781
GARCH,normal,high,5000.000000,48.000000,-0.435862,0.894425
GARCH,normal,high,5000.000000,49.000000,0.214441,-0.932851
GARCH,normal,high,5000.000000,50.000000,1.656723,0.525389
GARCH,t4,high,5000.000000,1.000000,0.713064,0.576499
GARCH,t4,high,5000.000000,2.000000,1.230428,0.380741
GARCH,t4,high,5000.000000,3.000000,-0.113325,-1.070563
GARCH,t4,high,5000.000000,4.000000,2.189617,1.359235
GARCH,t4,high,5000.000000,5.000000,0.200065,-0.388536
GARCH,t4,high,5000.000000,6.000000,1.450037,0.863985
GARCH,t4,high,5000.000000,7.000000,1.346119,0.319370
GARCH,t4,high,5000.000000,8.000000,0.430883,-0.860887
GARCH,t4,high,5000.000000,9.000000,-0.884177,0.150891
GARCH,t4,high,5000.000000,10.000000,-0.346324,-0.459965
GARCH,t4,high,5000.000000,11.000000,0.002968,-0.935082
GARCH,t4,high,5000.000000,12.000000,0.855047,-0.775250
GARCH,t4,high,5000.000000,13.000000,-0.288613,0.006876
GARCH,t4,high,5000.000000,14.000000,0.092903,0.471553
GARCH,t4,high,5000.000000,15.000000,-2.755512,-2.337072
GARCH,t4,high,5000.000000,16.000000,-0.264110,-1.102683
GARCH,t4,high,5000.000000,17.000000,-0.058505,0.268973
GARCH,t4,high,5000.000000,18.000000,-1.435076,-2.602999
GARCH,t4,high,5000.000000,19.000000,1.021448,0.128513
GARCH,t4,high,5000.000000,20.000000,-0.167080,-1.013485
GARCH,t4,high,5000.000000,21.000000,-0.148560,0.155843
GARCH,t4,high,5000.000000,22.000000,0.523326,-0.566608
GARCH,t4,high,5000.000000,23.000000,0.370461,0.952979
GARCH,t4,high,5000.000000,24.000000,1.136626,1.351102
GARCH,t4,high,5000.000000,25.000000,-0.952783,-0.865333
GARCH,t4,high,5000.000000,26.000000,0.462267,-0.430434
GARCH,t4,high,5000.000000,27.000000,0.054906,-1.618527
GARCH,t4,high,5000.000000,28.000000,1.021155,1.081386
GARCH,t4,high,5000.000000,29.000000,0.073652,-0.046077
GARCH,t4,high,5000.000000,30.000000,2.412577,0.561995
GARCH,t4,high,5000.000000,31.000000,-0.478109,-0.512297
GARCH,t4,high,5000.000000,32.000000,-0.629887,-0.863797
GARCH,t4,high,5000.000000,33.000000,0.871382,-0.447038
GARCH,t4,high,5000.000000,34.000000,0.997057,0.497095
GARCH,t4,high,5000.000000,35.000000,0.758480,0.482569
GARCH,t4,high,5000.000000,36.000000,1.648875,1.312392
GARCH,t4,high,5000.000000,37.000000,1.436706,0.446419
GARCH,t4,high,5000.000000,38.000000,-0.226041,-0.019737
GARCH,t4,high,5000.000000,39.000000,-2.427695,-2.230401
GARCH,t4,high,5000.000000,40.000000,0.985863,-0.288878
GARCH,t4,high,5000.000000,41.000000,-1.756499,0.096997
GARCH,t4,high,5000.000000,42.000000,0.726169,0.442241
GARCH,t4,high,5000.000000,43.000000,0.691567,1.226242
GARCH,t4,high,5000.000000,44.000000,-0.547241,1.407066
GARCH,t4,high,5000.000000,45.000000,-0.678725,-1.405599
GARCH,t4,high,5000.000000,46.000000,0.259794,1.300362
GARCH,t4,high,5000.000000,47.000000,2.048127,0.446313
GARCH,t4,high,5000.000000,48.000000,0.559403,0.554026
GARCH,t4,high,5000.000000,49.000000,0.289399,1.049780
GARCH,t4,high,5000.000000,50.000000,0.463818,1.093083
GJR-GARCH,normal,high,500.000000,1.000000,0.071568,-0.780595
GJR-GARCH,normal,high,500.000000,2.000000,3.638992,2.722432
GJR-GARCH,normal,high,500.000000,3.000000,1.863576,1.300283
GJR-GARCH,normal,high,500.000000,4.000000,0.840419,0.716763
GJR-GARCH,normal,high,500.000000,5.000000,1.466179,1.658624
GJR-GARCH,normal,high,500.000000,6.000000,1.434668,1.503075
GJR-GARCH,normal,high,500.000000,7.000000,2.760791,-0.616604
GJR-GARCH,normal,high,500.000000,8.000000,0.237716,1.192947
GJR-GARCH,normal,high,500.000000,9.000000,0.754808,0.798667
GJR-GARCH,normal,high,500.000000,10.000000,1.276801,1.108327
GJR-GARCH,normal,high,500.000000,11.000000,1.211347,0.794008
GJR-GARCH,normal,high,500.000000,12.000000,0.304617,0.397906
GJR-GARCH,normal,high,500.000000,13.000000,1.571423,-0.318301
GJR-GARCH,normal,high,500.000000,14.000000,0.320322,0.744937
GJR-GARCH,normal,high,500.000000,15.000000,1.541166,0.348866
GJR-GARCH,normal,high,500.000000,16.000000,1.223261,0.687788
GJR-GARCH,normal,high,500.000000,17.000000,1.567097,1.089022
GJR-GARCH,normal,high,500.000000,18.000000,1.128770,1.218298
GJR-GARCH,normal,high,500.000000,19.000000,3.677357,1.823509
GJR-GARCH,normal,high,500.000000,20.000000,-0.214421,0.500211
GJR-GARCH,normal,high,500.000000,21.000000,-1.265950,-1.761370
GJR-GARCH,normal,high,500.000000,22.000000,2.006770,0.954111
GJR-GARCH,normal,high,500.000000,23.000000,0.676285,-0.517283
GJR-GARCH,normal,high,500.000000,24.000000,1.062422,-0.836692
GJR-GARCH,normal,high,500.000000,25.000000,-0.982214,-1.042029
GJR-GARCH,normal,high,500.000000,26.000000,1.002090,0.330283
GJR-GARCH,normal,high,500.000000,27.000000,-0.117615,0.402215
GJR-GARCH,normal,high,500.000000,28.000000,2.552214,1.053394
GJR-GARCH,normal,high,500.000000,29.000000,0.994712,1.272907
GJR-GARCH,normal,high,500.000000,30.000000,1.955949,0.803415
GJR-GARCH,normal,high,500.000000,31.000000,-1.117162,-1.607183
GJR-GARCH,normal,high,500.000000,32.000000,0.362499,-0.884599
GJR-GARCH,normal,high,500.000000,33.000000,1.488295,0.736924
GJR-GARCH,normal,high,500.000000,34.000000,0.344425,0.025378
GJR-GARCH,normal,high,500.000000,35.000000,-0.547182,0.252141
GJR-GARCH,normal,high,500.000000,36.000000,1.126603,0.311121
GJR-GARCH,normal,high,500.000000,37.000000,0.986600,1.078307
GJR-GARCH,normal,high,500.000000,38.000000,0.393011,0.156739
GJR-GARCH,normal,high,500.000000,39.000000,-0.087289,-0.942916
GJR-GARCH,normal,high,500.000000,40.000000,1.301126,1.111024
GJR-GARCH,normal,high,500.000000,41.000000,-0.014508,0.513168
GJR-GARCH,normal,high,500.000000,42.000000,1.912737,0.337671
GJR-GARCH,normal,high,500.000000,43.000000,0.185309,0.483268
