ticker,ref_date,price_open,price_high,price_low,price_close,volume,price_adjusted,ret_adjusted_prices,ret_closing_prices,cumret_adjusted_prices
^GSPC,2016-01-04,2038.19995117188,2038.19995117188,1989.68005371094,2012.66003417969,4304880000,2012.66003417969,,,1
^GSPC,2016-01-05,2013.78002929687,2021.93994140625,2004.17004394531,2016.7099609375,3706620000,2016.7099609375,0.00201222595422745,0.00201222595422745,1.00201222595423
^GSPC,2016-01-06,2011.7099609375,2011.7099609375,1979.05004882813,1990.26000976563,4336660000,1990.26000976563,-0.0131153967026469,-0.0131153967026469,0.988870438109936
^GSPC,2016-01-07,1985.31994628906,1985.31994628906,1938.82995605469,1943.08996582031,5076590000,1943.08996582031,-0.0237004430144117,-0.0237004430144117,0.965433770642875
^GSPC,2016-01-08,1945.96997070313,1960.40002441406,1918.4599609375,1922.03002929688,4664940000,1922.03002929688,-0.0108383743902185,-0.0108383743902185,0.954970037987687
^GSPC,2016-01-11,1926.11999511719,1935.65002441406,1901.09997558594,1923.67004394531,4607290000,1923.67004394531,0.000853272125533655,0.000853272125533655,0.955784887301821
^GSPC,2016-01-12,1927.82995605469,1947.38000488281,1914.34997558594,1938.68005371094,4887260000,1938.68005371094,0.00780279851675636,0.00780279851675636,0.963242684202798
^GSPC,2016-01-13,1940.33996582031,1950.32995605469,1886.41003417969,1890.28002929688,5087030000,1890.28002929688,-0.0249654523042197,-0.0249654523042197,0.939194894912945
^GSPC,2016-01-14,1891.68005371094,1934.46997070313,1878.93005371094,1921.83996582031,5241110000,1921.83996582031,0.0166959053866622,0.0166959053866622,0.954875604018047
^GSPC,2016-01-15,1916.68005371094,1916.68005371094,1857.82995605469,1880.32995605469,5468460000,1880.32995605469,-0.02159909800185,-0.02159909800185,0.934251152267286
^GSPC,2016-01-19,1888.66003417969,1901.43994140625,1864.59997558594,1881.32995605469,4928350000,1881.32995605469,0.000531821554392575,0.000531821554392575,0.934748007167278
^GSPC,2016-01-20,1876.18005371094,1876.18005371094,1812.2900390625,1859.32995605469,6416070000,1859.32995605469,-0.0116938551524135,-0.0116938551524135,0.923817199367456
^GSPC,2016-01-21,1861.4599609375,1889.84997558594,1848.97998046875,1868.98999023438,5078810000,1868.98999023438,0.00519543836113146,0.00519543836113146,0.928616834683723
^GSPC,2016-01-22,1877.40002441406,1908.84997558594,1877.40002441406,1906.90002441406,4901760000,1906.90002441406,0.0202837010244947,0.0202837010244947,0.94745262092476
^GSPC,2016-01-25,1906.28002929688,1906.28002929688,1875.96997070313,1877.07995605469,4401380000,1877.07995605469,-0.015637982053379,-0.015637982053379,0.932636373842312
^GSPC,2016-01-26,1878.7900390625,1906.72998046875,1878.7900390625,1903.63000488281,4357940000,1903.63000488281,0.0141443355902264,0.0141443355902264,0.94582789569759
^GSPC,2016-01-27,1902.52001953125,1916.98999023438,1872.69995117188,1882.94995117188,4754040000,1882.94995117188,-0.0108634837956395,-0.0108634837956395,0.935552909679215
