ticker,date,window_start,window_end,window_size,garch_omega,garch_alpha1,garch_beta1,garch_gamma,realized_return,sigma,xi,xi_lo,xi_hi,ce,ce_se,ce_lo,ce_hi,ci_level,xp_fixed_tau,xp_fixed,xp_fixed_se,xp_fixed_lo,xp_fixed_hi,xp_fixed_alpha,es_01_alpha,es_01,es_01_se,es_01_lo,es_01_hi,es_01_var,es_01_var_se,var_alpha,var,var_se,var_lo,var_hi,es_alpha,es_var,es_var_se,es,es_se,es_lo,es_hi,tau_alpha,omega_alpha,alpha_tau,exception_var,exception_ce,exception_xp_fixed
BNB,2020-08-16,2017-11-20,2020-08-15,1000,0.8460148958,0.09969018734,0.8561332425,0.06903521252,2.043764355,3.747325267,-2.862371713,-3.556312424,-2.168431002,-10.72623784,1.736963855,-14.13062444,-7.321851246,0.95,0.01,-7.939444035,0.9141489844,-9.73114312,-6.147744949,0.024,0.01,-15.50427622,2.486154247,-20.377049,-10.63150344,-10.72623784,1.421869879,0.01,-10.72623784,1.421869879,-13.5130516,-7.93942409,0.025,-7.658825842,0.6351746016,-11.36065516,1.316007209,-13.9399819,-8.781328432,0.003938128693,252.9277098,0.009,false,false,false
BNB,2020-08-17,2017-11-21,2020-08-16,1000,0.8375605006,0.09907278508,0.8567545676,0.06899667853,0.05531274768,3.639787478,-2.863760889,-3.497650734,-2.229871044,-10.42348102,1.590245858,-13.54030563,-7.306656415,0.95,0.01,-7.717613564,0.9005825037,-9.482722836,-5.952504291,0.024,0.01,-15.07359497,2.434865645,-19.84584394,-10.301346,-10.42348102,1.396110447,0.01,-10.42348102,1.396110447,-13.15980722,-7.687154828,0.025,-7.447823945,0.6341895353,-11.04367252,1.296234027,-13.58424453,-8.50310051,0.003943574332,252.5770638,0.01,false,false,false
BNB,2020-08-18,2017-11-22,2020-08-17,1000,0.8291619907,0.09865058559,0.8572214308,0.06894940998,-1.901939775,3.485926507,-2.864913943,-3.500167113,-2.229660773,-9.986879454,1.54886121,-13.02259164,-6.951167265,0.95,0.01,-7.396947443,0.8869538584,-9.135345061,-5.658549824,0.024,0.01,-14.45267626,2.370958017,-19.09966858,-9.805683936,-9.986879454,1.367205684,0.01,-9.986879454,1.367205684,-12.66655335,-7.307205555,0.025,-7.140739393,0.639019729,-10.58713311,1.278337101,-13.09262778,-8.081638428,0.003950621288,252.1247434,0.01,false,false,false
BNB,2020-08-19,2017-11-23,2020-08-18,1000,0.8234376472,0.09827462188,0.8574459357,0.06927516427,-3.335808862,3.438297885,-2.866480585,-3.501632417,-2.231328753,-9.855814131,1.539840785,-12.87384661,-6.837781651,0.95,0.01,-7.303188717,0.8867639529,-9.041214127,-5.565163307,0.024,0.01,-14.26695234,2.356631487,-18.88586518,-9.648039498,-9.855814131,1.363601101,0.01,-9.855814131,1.363601101,-12.52842318,-7.183205084,0.025,-7.046728017,0.6442195499,-10.45076476,1.278820575,-12.95720703,-7.944322493,0.003956128577,251.7723709,0.01,false,false,false
BNB,2020-08-20,2017-11-24,2020-08-19,1000,0.8233439916,0.09822597203,0.8574853215,0.06901120884,3.445837357,3.580146694,-2.867438181,-3.499969571,-2.234906791,-10.26584932,1.590526002,-13.383223,-7.148475643,0.95,0.01,-7.605202273,0.9104195012,-9.389591706,-5.820812839,0.024,0.01,-14.86066237,2.437050654,-19.63719389,-10.08413086,-10.26584932,1.402254166,0.01,-10.26584932,1.402254166,-13.01421699,-7.517481661,0.025,-7.517823859,0.6910827478,-10.88541399,1.294692763,-13.42296517,-8.347862799,0.003954072464,251.9038122,0.01,false,false,false
BNB,2020-08-21,2017-11-25,2020-08-20,1000,0.8271900642,0.09838612463,0.8570284987,0.06967745928,-4.262244662,3.604256431,-2.867850968,-3.499779277,-2.235922659,-10.33647029,1.586929338,-13.44679464,-7.226145945,0.95,0.01,-7.698109737,0.9028655888,-9.467693774,-5.9285257,0.024,0.01,-14.95447332,2.42931692,-19.71584699,-10.19309965,-10.33647029,1.319413616,0.01,-10.33647029,1.319413616,-12.92247346,-7.750467126,0.025,-7.667706727,0.7101455766,-11.01554039,1.274206516,-13.51293927,-8.518141506,0.003949230843,252.2138636,0.01,false,false,false
BNB,2020-08-22,2017-11-26,2020-08-21,1000,0.833357412,0.0984844243,0.8565598844,0.07030803648,0.4995703587,3.878787007,-2.955434696,-3.639692116,-2.271177276,-11.4635017,1.81842295,-15.02754519,-7.899458208,0.95,0.01,-8.361467831,1.048130803,-10.41576646,-6.307169207,0.021,0.01,-16.17117881,2.5479183,-21.16500691,-11.17735071,-11.4635017,1.500793005,0.01,-11.4635017,1.500793005,-14.40500194,-8.522001461,0.025,-8.245580892,0.7752762919,-11.95263422,1.386068584,-14.66927873,-9.235989718,0.003639137471,273.7903886,0.009,false,false,false
BNB,2020-08-23,2017-11-27,2020-08-22,1000,0.8229895731,0.09782523114,0.8574107535,0.06977816456,-1.673006416,3.700898951,-2.953994861,-3.577084023,-2.330905699,-10.93243648,1.621715303,-14.11094007,-7.753932895,0.95,0.01,-7.990112959,0.998960653,-9.948039861,-6.032186057,0.021,0.01,-15.46677016,2.434028892,-20.23737912,-10.69616119,-10.93243648,1.442820369,0.01,-10.93243648,1.442820369,-13.76031244,-8.104560522,0.025,-7.875763752,0.7352769938,-11.42225763,1.318998437,-14.00744706,-8.837068193,0.003674352151,271.1568208,0.01,false,false,false
BNB,2020-08-24,2017-11-28,2020-08-23,1000,0.8161035024,0.09728904314,0.8579007973,0.0697822295,3.305448317,3.606347619,-2.954105344,-3.573809661,-2.334401026,-10.65353077,1.58533184,-13.76072408,-7.546337462,0.95,0.01,-7.850998689,1.013616014,-9.83764957,-5.864347807,0.02,0.01,-15.27365592,2.409588527,-19.99636265,-10.55094919,-10.65353077,1.555379543,0.01,-10.65353077,1.555379543,-13.70201866,-7.605042886,0.025,-7.680940405,0.7302663801,-11.20967894,1.314121597,-13.78530994,-8.634047941,0.003844108942,259.138309,0.01,false,false,false
BNB,2020-08-25,2017-11-29,2020-08-24,1000,0.8143609488,0.09703265104,0.8580515494,0.06972248757,-5.130227805,3.608698336,-2.95478471,-3.637750444,-2.271818975,-10.66292667,1.684215237,-13.96392787,-7.361925459,0.95,0.01,-7.869431805,1.007251566,-9.843608598,-5.895255012,0.02,0.01,-15.3291987,2.401281888,-20.03562471,-10.62277268,-10.66292667,1.546489485,0.01,-10.66292667,1.546489485,-13.69399036,-7.631862973,0.025,-7.688327832,0.7161043274,-11.236577,1.301509095,-13.78748795,-8.685666046,0.00387696004,256.9340487,0.009,false,false,false
BNB,2020-08-26,2017-11-30,2020-08-25,1000,0.8275490288,0.09850806165,0.8573501039,0.06731780018,3.666193593,4.049001881,-2.870733497,-3.504490519,-2.236976475,-11.62360533,1.828993229,-15.20836619,-8.038844472,0.95,0.01,-8.612813392,1.055378018,-10.6813163,-6.544310486,0.024,0.01,-16.82870764,2.816248698,-22.34845366,-11.30896162,-11.62360533,1.630469337,0.01,-11.62360533,1.630469337,-14.81926651,-8.427944152,0.025,-8.323158268,0.8062462421,-12.32534692,1.537655317,-15.33909596,-9.311597876,0.003957797022,251.6658125,0.01,false,false,false
BNB,2020-08-27,2017-12-01,2020-08-26,1000,0.8432687878,0.1003323075,0.8554946227,0.0674383537,3.543060659,4.035227512,-2.868760671,-3.565500117,-2.172021226,-11.57610199,1.887364602,-15.27526863,-7.876935341,0.95,0.01,-8.581053732,0.9985128926,-10.53810304,-6.624004424,0.024,0.01,-16.76033129,2.710195759,-22.07221736,-11.44844521,-11.57610199,1.550783237,0.01,-11.57610199,1.550783237,-14.61558128,-8.536622694,0.025,-8.275661651,0.7124088428,-12.27755034,1.441322335,-15.10249021,-9.452610479,0.00395993779,251.5292196,0.009,false,false,false
BNB,2020-08-28,2017-12-02,2020-08-27,1000,0.8383658562,0.09954214265,0.8559883179,0.06787540734,0.2296187241,4.000214593,-2.87103551,-3.569034172,-2.173036849,-11.48475814,1.850836648,-15.11233132,-7.857184974,0.95,0.01,-8.510163277,0.9686546988,-10.4086916,-6.611634954,0.024,0.01,-16.62058367,2.655495017,-21.82525826,-11.41590907,-11.48475814,1.512869994,0.01,-11.48475814,1.512869994,-14.44992885,-8.519587444,0.025,-8.208533827,0.6769175218,-12.17593063,1.397989227,-14.91593917,-9.435922098,0.003954378308,251.8842518,0.01,false,false,false
BNB,2020-08-29,2017-12-03,2020-08-28,1000,0.8278745611,0.09843530354,0.8568736442,0.06817725459,-0.5311066604,3.806828121,-2.873917068,-3.510103028,-2.237731107,-10.94050831,1.641499883,-14.15778896,-7.723227659,0.95,0.01,-8.106737519,0.9180928878,-9.906166514,-6.307308525,0.024,0.01,-15.83320805,2.520678805,-20.77364773,-10.89276838,-10.94050831,1.434189968,0.01,-10.94050831,1.434189968,-13.75146899,-8.129547626,0.025,-7.822627435,0.6372383035,-11.59848666,1.322424673,-14.19039139,-9.006581928,0.003954785686,251.8582025,0.01,false,false,false
BNB,2020-08-30,2017-12-04,2020-08-29,1000,0.8216501852,0.0976134399,0.8573139186,0.06881090298,2.716386394,3.641827965,-2.876791451,-3.570501142,-2.183081759,-10.47677955,1.695754756,-13.8003978,-7.153161306,0.95,0.01,-7.762631733,0.8926252783,-9.512145131,-6.013118336,0.024,0.01,-15.15691003,2.432952892,-19.92541007,-10.38840998,-10.47677955,1.391470943,0.01,-10.47677955,1.391470943,-13.20401249,-7.74954662,0.025,-7.487914792,0.6272587719,-11.10387595,1.288322966,-13.62894256,-8.578809333,0.003952443266,252.0080592,0.009,false,false,false
BNB,2020-08-31,2017-12-05,2020-08-30,1000,0.8344954213,0.09886963148,0.8555927404,0.06982499946,-1.929538407,3.595273558,-2.876878505,-3.570963319,-2.182793691,-10.34316522,1.672486843,-13.6211792,-7.065151242,0.95,0.01,-7.691122873,0.881881966,-9.419579765,-5.962665981,0.024,0.01,-14.95492858,2.396282587,-19.65155615,-10.25830102,-10.34316522,1.340343364,0.01,-10.34316522,1.340343364,-12.97018994,-7.7161405,0.025,-7.674961258,0.677535733,-10.9978313,1.241833,-13.43177925,-8.563883344,0.003948265167,252.2757952,0.009,false,false,false
BNB,2020-09-01,2017-12-06,2020-08-31,1000,0.8252037628,0.09783539635,0.8563735758,0.07025543633,6.788153763,3.534074131,-2.879487784,-3.514404288,-2.244571281,-10.17632329,1.547211334,-13.20880178,-7.143844799,0.95,0.01,-7.580948249,0.8766864574,-9.299222132,-5.862674367,0.024,0.01,-14.71229081,2.371997532,-19.36132054,-10.06326108,-10.17632329,1.295903907,0.01,-10.17632329,1.295903907,-12.71624827,-7.636398305,0.025,-7.548356283,0.6864620898,-10.837324,1.238901555,-13.26552643,-8.409121569,0.003949655161,252.1866604,0.01,false,false,false
BNB,2020-09-02,2017-12-07,2020-09-01,1000,0.8356501553,0.09691515727,0.8566836699,0.07049014408,-0.5321216304,4.006617729,-2.882332119,-3.515941447,-2.24872279,-11.54840297,1.8049037,-15.08594922,-8.01085672,0.95,0.01,-8.579751046,1.041561162,-10.62117341,-6.538328681,0.024,0.01,-16.64702292,2.756376522,-22.04942163,-11.24462421,-11.54840297,1.534312688,0.01,-11.54840297,1.534312688,-14.55560058,-8.54120536,0.025,-8.521360001,0.8361795779,-12.26886185,1.481063551,-15.17169307,-9.366030628,0.003909579648,254.781974,0.01,false,false,false
BNB,2020-09-03,2017-12-08,2020-09-02,1000,0.8291031249,0.09561925192,0.8572711925,0.07174178285,-18.01570335,3.816828373,-2.964027821,-3.587990323,-2.34006532,-11.31318549,1.691028166,-14.62753979,-7.998831183,0.95,0.01,-8.270760228,1.07540601,-10.37851728,-6.16300318,0.02,0.01,-15.99500614,2.540730765,-20.97474693,-11.01526535,-11.31318549,1.533653163,0.01,-11.31318549,1.533653163,-14.31909045,-8.307280521,0.025,-8.117287608,0.7801176683,-11.81571368,1.397325085,-14.55442052,-9.077006838,0.003671259484,271.3860856,0.01,true,true,true
