model,distribution,persistence,n,tau,xi_bias,xi_rmse,xi_mc_sd,xi_avg_se,xi_se_sd_ratio,xi_coverage,xi_coverage_mcse,xi_lower_miss,xi_upper_miss,xi_avg_length,xi_valid_fraction,xi_z_mean,xi_z_sd,xi_z_sd_mcse,ce_bias,ce_rmse,ce_mc_sd,ce_avg_se,ce_se_sd_ratio,ce_coverage,ce_coverage_mcse,ce_lower_miss,ce_upper_miss,ce_avg_length,ce_valid_fraction,ce_z_mean,ce_z_sd,ce_z_sd_mcse,sigma_error_sd,xi_sigma_error_correlation,persistence_hat_mean,persistence_hat_p99,near_stationarity_fraction,information_condition_median,information_condition_p99,max_variance_p99,abs_xi_error_p99,abs_ce_error_p99
GARCH,t4,low,1000.000000,0.950000,0.025062,0.101071,0.097920,0.065258,0.666443,0.914400,0.002798,0.075400,0.010200,0.255806,1.000000,0.397970,1.099527,0.009332,0.021569,0.181669,0.180393,0.140336,0.777946,0.939700,0.002380,0.017800,0.042500,0.550107,1.000000,-0.025929,1.100601,0.028954,0.134058,-0.126439,0.828127,0.995981,0.011300,437.953304,135320.950930,115.597916,0.217965,0.659015
GARCH,t4,low,2500.000000,0.950000,0.008481,0.045776,0.044985,0.041674,0.926400,0.933700,0.002488,0.055600,0.010700,0.163361,1.000000,0.281018,1.046515,0.007936,0.007205,0.115122,0.114902,0.089190,0.776225,0.942600,0.002326,0.017900,0.039500,0.349617,1.000000,-0.036518,1.055372,0.013308,0.096120,-0.170374,0.869727,0.985590,0.003400,416.021092,3694.626727,138.620603,0.123511,0.380572
GARCH,t4,low,5000.000000,0.950000,0.004705,0.032354,0.032011,0.030207,0.943630,0.938600,0.002401,0.052200,0.009200,0.118409,1.000000,0.244343,1.031553,0.007166,0.003162,0.086013,0.085959,0.064087,0.745546,0.946000,0.002260,0.020300,0.033700,0.251215,1.000000,-0.031853,1.022326,0.007704,0.072962,-0.180790,0.886584,0.977132,0.001400,404.811230,1749.468474,149.266364,0.085119,0.268935
GARCH,t8,high,500.000000,0.950000,0.142735,2.127573,2.122886,0.156971,0.073942,0.884000,0.003202,0.107800,0.008200,0.615317,1.000000,0.671369,1.121450,0.010446,0.146912,2.107020,2.101997,0.244266,0.116207,0.946700,0.002246,0.027100,0.026200,0.957507,1.000000,0.303648,1.038656,0.013575,0.104558,-0.038881,0.927638,0.999000,0.049700,268.751633,175994.649975,19.824983,0.557165,0.858103
GARCH,t8,high,1000.000000,0.950000,0.034866,0.069660,0.060310,0.055061,0.912961,0.900300,0.002996,0.090700,0.009000,0.215834,1.000000,0.596273,1.043851,0.007740,0.041312,0.123324,0.116204,0.107476,0.924886,0.950500,0.002169,0.028400,0.021100,0.421297,1.000000,0.284280,0.981272,0.008270,0.072806,-0.017553,0.965427,0.996612,0.020700,212.474695,2171.276662,21.077427,0.196690,0.400917
GARCH,t8,high,2500.000000,0.950000,0.014121,0.034845,0.031858,0.031754,0.996748,0.927400,0.002595,0.061700,0.010900,0.124473,1.000000,0.437034,1.004889,0.007129,0.016232,0.065063,0.063009,0.061611,0.977811,0.955900,0.002053,0.028000,0.016100,0.241510,1.000000,0.215629,0.968790,0.007304,0.042695,-0.030817,0.975897,0.992567,0.001500,183.486307,563.603577,23.802053,0.089499,0.201026
GARCH,t8,high,5000.000000,0.950000,0.007287,0.022673,0.021471,0.021638,1.007772,0.937200,0.002426,0.052500,0.010300,0.084820,1.000000,0.336079,0.995074,0.007095,0.008466,0.046224,0.045445,0.042453,0.934181,0.950600,0.002167,0.030200,0.019200,0.166414,1.000000,0.171635,0.987434,0.007110,0.031729,-0.014684,0.978054,0.990059,0.000000,174.131035,345.831769,27.054411,0.058429,0.148205
GARCH,t8,low,500.000000,0.950000,0.058936,0.675919,0.673379,0.086792,0.128891,0.910000,0.002862,0.072700,0.017300,0.340219,1.000000,0.369669,1.178897,0.013664,0.054873,0.671250,0.669037,0.166929,0.249507,0.945800,0.002264,0.020500,0.033700,0.654350,1.000000,0.084119,1.033341,0.009951,0.100717,-0.158996,0.781237,0.998416,0.012800,711.089093,717194685.874549,15.436111,0.557929,0.809666
GARCH,t8,low,1000.000000,0.950000,0.014491,0.070215,0.068707,0.048273,0.702590,0.930800,0.002538,0.053300,0.015900,0.189227,1.000000,0.265261,1.074202,0.010438,0.016033,0.110938,0.109779,0.096488,0.878937,0.945200,0.002276,0.023400,0.031400,0.378228,1.000000,0.059892,1.024539,0.008857,0.070491,-0.080341,0.835972,0.988158,0.003700,684.365957,37230.444350,14.528847,0.152809,0.345457
GARCH,t8,low,2500.000000,0.950000,0.004529,0.030147,0.029807,0.029529,0.990691,0.943000,0.002318,0.037100,0.019900,0.115752,1.000000,0.162027,1.012538,0.007125,0.003890,0.062273,0.062154,0.058636,0.943405,0.946900,0.002242,0.022200,0.030900,0.229851,1.000000,0.023969,1.017629,0.007616,0.043969,-0.026022,0.878533,0.972879,0.000000,689.586784,3986.699202,15.131112,0.077220,0.186438
GARCH,t8,low,5000.000000,0.950000,0.002300,0.020839,0.020713,0.020756,1.002097,0.947100,0.002238,0.035000,0.017900,0.081363,1.000000,0.119585,1.000722,0.007098,0.002258,0.043798,0.043742,0.041273,0.943547,0.952500,0.002127,0.020200,0.027300,0.161787,1.000000,0.023947,0.999194,0.007105,0.031000,-0.022210,0.890959,0.955965,0.000000,683.027842,2099.483247,15.017914,0.053575,0.131260
GJR-GARCH,normal,high,500.000000,0.950000,0.073918,1.571982,1.570321,0.096450,0.061420,0.896500,0.003046,0.093600,0.009900,0.378076,1.000000,0.613079,1.067491,0.008611,0.070663,1.049764,1.047435,0.157947,0.150794,0.949800,0.002184,0.028200,0.022000,0.619140,1.000000,0.287307,0.985112,0.008613,0.089814,-0.005125,0.963937,0.999000,0.058800,174.776429,931.162576,33.388530,0.333478,0.560710
GJR-GARCH,normal,high,1000.000000,0.950000,0.025261,0.054035,0.047769,0.045374,0.949879,0.918900,0.002730,0.072400,0.008700,0.177864,1.000000,0.513573,1.021641,0.007659,0.027483,0.099759,0.095903,0.088180,0.919465,0.950300,0.002173,0.030600,0.019100,0.345658,1.000000,0.248072,0.978010,0.007207,0.061623,0.013434,0.974137,0.996716,0.019800,150.240931,379.520606,41.257348,0.152407,0.330449
GJR-GARCH,normal,high,2500.000000,0.950000,0.009863,0.027674,0.025858,0.025939,1.003123,0.937200,0.002426,0.050700,0.012100,0.101679,1.000000,0.361835,0.993004,0.007114,0.011545,0.058967,0.057829,0.051039,0.882590,0.950300,0.002173,0.029300,0.020400,0.200070,1.000000,0.189516,0.990471,0.007219,0.040198,0.010550,0.977900,0.992115,0.001200,135.884088,208.665832,56.717217,0.073488,0.191696
GJR-GARCH,normal,high,5000.000000,0.950000,0.004920,0.018089,0.017407,0.017587,1.010319,0.942200,0.002334,0.043700,0.014100,0.068940,1.000000,0.272576,0.991306,0.007020,0.005670,0.038077,0.037655,0.035006,0.929653,0.951500,0.002148,0.029500,0.019000,0.137221,1.000000,0.142801,0.982332,0.007077,0.026663,-0.002845,0.979025,0.989082,0.000000,131.180743,172.590751,72.530306,0.046387,0.122138
GJR-GARCH,normal,low,500.000000,0.950000,0.031336,0.712409,0.711755,0.067965,0.095490,0.927500,0.002593,0.057500,0.015000,0.266419,1.000000,0.293247,1.060630,0.008675,0.031415,0.724334,0.723689,0.133853,0.184960,0.947200,0.002236,0.023100,0.029700,0.524696,1.000000,0.078263,1.020429,0.008173,0.087652,-0.027749,0.857240,0.985358,0.003000,301.646944,4029.992880,13.648033,0.193601,0.409965
GJR-GARCH,normal,low,1000.000000,0.950000,0.008532,0.041627,0.040746,0.038849,0.953439,0.941600,0.002345,0.043000,0.015400,0.152284,1.000000,0.217374,1.016649,0.007490,0.008115,0.087994,0.087623,0.080395,0.917513,0.944000,0.002299,0.024800,0.031200,0.315144,1.000000,0.053249,1.025717,0.007535,0.062239,0.000452,0.881649,0.970185,0.000300,288.552312,1362.567222,13.832410,0.106800,0.258915
GJR-GARCH,normal,low,2500.000000,0.950000,0.003049,0.023912,0.023718,0.023929,1.008901,0.950200,0.002175,0.032000,0.017800,0.093802,1.000000,0.134489,0.993842,0.007066,0.003503,0.055324,0.055216,0.050101,0.907366,0.947700,0.002226,0.024500,0.027800,0.196392,1.000000,0.036418,1.017081,0.007345,0.039944,0.019011,0.894658,0.946998,0.000000,281.591638,677.055728,15.099964,0.061858,0.169228
GJR-GARCH,normal,low,5000.000000,0.950000,0.001500,0.016730,0.016663,0.016798,1.008050,0.951500,0.002148,0.029500,0.019000,0.065845,1.000000,0.095755,0.993595,0.007070,0.001882,0.037506,0.037461,0.035144,0.938154,0.950800,0.002163,0.024400,0.024800,0.137762,1.000000,0.031198,1.006989,0.007327,0.027068,0.006428,0.897614,0.935525,0.000000,278.091439,495.879559,16.538631,0.043221,0.113740
GJR-GARCH,t4,high,500.000000,0.950000,0.151219,5.197727,5.195787,0.145011,0.027909,0.891400,0.003111,0.101600,0.007000,0.568432,1.000000,0.632503,1.071917,0.008175,0.076778,1.347095,1.344972,2.777799,2.065320,0.946600,0.002248,0.016600,0.036800,10.888771,1.000000,0.082817,1.064458,0.011583,0.177773,-0.043115,0.948185,0.999000,0.179000,183.224661,1506.407289,167.989184,0.522402,1.084554
GJR-GARCH,t4,high,1000.000000,0.950000,0.039124,0.098192,0.090065,0.070125,0.778602,0.901600,0.002979,0.092400,0.006000,0.274883,1.000000,0.563907,1.058194,0.007707,0.030699,0.208083,0.205816,0.148341,0.720743,0.946200,0.002256,0.020700,0.033100,0.581485,1.000000,0.076277,1.035388,0.010306,0.148298,-0.033463,0.967994,0.999000,0.147900,159.146083,504.396957,255.428649,0.255057,0.770695
GJR-GARCH,t4,high,2500.000000,0.950000,0.015919,0.048552,0.045870,0.043037,0.938225,0.922500,0.002674,0.069500,0.008000,0.168700,1.000000,0.421596,1.042819,0.011340,0.009972,0.130867,0.130493,0.091769,0.703250,0.949000,0.002200,0.020400,0.030600,0.359729,1.000000,0.037361,1.010520,0.007452,0.105446,-0.087417,0.975654,0.999000,0.092900,141.539187,252.859079,429.609850,0.128312,0.443696
GJR-GARCH,t4,high,5000.000000,0.950000,0.008753,0.033082,0.031905,0.030653,0.960747,0.929300,0.002563,0.063600,0.007100,0.120156,1.000000,0.355682,1.028963,0.007192,0.007418,0.131993,0.131791,0.067841,0.514766,0.947100,0.002238,0.023700,0.029200,0.265933,1.000000,0.033222,1.013256,0.007433,0.106872,-0.064406,0.977701,0.999000,0.058000,135.292326,203.751939,577.575067,0.086742,0.334250
GJR-GARCH,t4,low,500.000000,0.950000,0.083419,4.124012,4.123375,0.104960,0.025455,0.912400,0.002827,0.076400,0.011200,0.411436,1.000000,0.428911,1.093499,0.008804,0.036182,0.275209,0.272833,3.073154,11.263848,0.935600,0.002455,0.015600,0.048800,12.046541,1.000000,-0.057158,1.085902,0.010574,0.200746,-0.056160,0.841732,0.999000,0.034500,190.375022,10496.771516,163.342769,0.383702,0.979129
GJR-GARCH,t4,low,1000.000000,0.950000,0.020764,0.078324,0.075525,0.063476,0.840467,0.919100,0.002727,0.070600,0.010300,0.248822,1.000000,0.365968,1.063938,0.007707,0.014103,0.197721,0.197227,0.149498,0.758000,0.938600,0.002401,0.018800,0.042600,0.586023,1.000000,-0.060980,1.082291,0.019678,0.159122,-0.078408,0.869431,0.999000,0.015400,174.411055,1655.627640,193.883269,0.192659,0.735105
GJR-GARCH,t4,low,2500.000000,0.950000,0.008253,0.044160,0.043384,0.041170,0.948978,0.934800,0.002469,0.054000,0.011200,0.161385,1.000000,0.273824,1.037068,0.007550,0.006073,0.129920,0.129784,0.097417,0.750606,0.943900,0.002301,0.017600,0.038500,0.381867,1.000000,-0.049883,1.047900,0.011165,0.110151,-0.130341,0.888568,0.980849,0.005100,161.672666,606.784711,267.214694,0.119467,0.443923
GJR-GARCH,t4,low,5000.000000,0.950000,0.004917,0.031735,0.031353,0.029937,0.954839,0.938000,0.002412,0.052300,0.009700,0.117351,1.000000,0.246298,1.029472,0.007174,0.003818,0.105019,0.104955,0.071989,0.685903,0.947500,0.002230,0.018800,0.033700,0.282192,1.000000,-0.034050,1.020013,0.007688,0.089315,-0.132646,0.894175,0.968331,0.002300,156.385344,401.291648,315.454918,0.082808,0.335288
GJR-GARCH,t8,high,500.000000,0.950000,0.070294,0.972728,0.970234,0.097308,0.100293,0.903400,0.002954,0.086200,0.010400,0.381440,1.000000,0.560574,1.063349,0.008198,0.066688,0.741289,0.738321,0.176430,0.238961,0.949200,0.002196,0.024700,0.026100,0.691592,1.000000,0.210278,1.014165,0.010533,0.115683,-0.018830,0.959696,0.999000,0.107200,164.844724,1003.313025,69.107349,0.376596,0.673828
GJR-GARCH,t8,high,1000.000000,0.950000,0.026503,0.062600,0.056716,0.053514,0.943533,0.920100,0.002711,0.068600,0.011300,0.209769,1.000000,0.459388,1.029179,0.007589,0.028086,0.132387,0.129380,0.107556,0.831322,0.952800,0.002121,0.022500,0.024700,0.421613,1.000000,0.174067,0.992160,0.008099,0.088834,-0.013616,0.972858,0.999000,0.055200,143.558709,370.494511,87.475896,0.176890,0.441212
GJR-GARCH,t8,high,2500.000000,0.950000,0.010562,0.033285,0.031567,0.031313,0.991963,0.938200,0.002408,0.048300,0.013500,0.122745,1.000000,0.326230,1.004907,0.007101,0.010372,0.071233,0.070477,0.062982,0.893652,0.952600,0.002125,0.024900,0.022500,0.246885,1.000000,0.123675,0.985961,0.007346,0.052047,-0.021578,0.977408,0.994702,0.008700,129.335554,210.960898,112.483501,0.087600,0.241241
GJR-GARCH,t8,high,5000.000000,0.950000,0.005495,0.022082,0.021388,0.021478,1.004196,0.943000,0.002318,0.043600,0.013400,0.084193,1.000000,0.253263,0.996441,0.007092,0.005453,0.050070,0.049774,0.043646,0.876876,0.948800,0.002204,0.028900,0.022300,0.171089,1.000000,0.100605,0.993825,0.007163,0.036436,-0.001456,0.978757,0.991520,0.000800,125.305181,167.939312,154.411084,0.057054,0.172548
GJR-GARCH,t8,low,500.000000,0.950000,0.025774,0.319010,0.317983,0.071249,0.224067,0.927300,0.002596,0.056000,0.016700,0.279293,1.000000,0.287426,1.062655,0.008070,0.024255,0.285546,0.284528,0.151567,0.532696,0.945800,0.002264,0.020300,0.033900,0.594132,1.000000,0.025610,1.044539,0.010677,0.118992,-0.039039,0.850566,0.989090,0.004700,238.561015,5179.945572,33.507598,0.233956,0.573460
GJR-GARCH,t8,low,1000.000000,0.950000,0.009605,0.049484,0.048545,0.047148,0.971208,0.940300,0.002369,0.043100,0.016600,0.184815,1.000000,0.205905,1.028952,0.007490,0.008593,0.116699,0.116388,0.102485,0.880547,0.948000,0.002220,0.019600,0.032400,0.401736,1.000000,0.003972,1.030452,0.009426,0.086945,-0.025153,0.877050,0.973527,0.000500,228.935720,1232.915233,35.667850,0.129270,0.377806
GJR-GARCH,t8,low,2500.000000,0.950000,0.003655,0.029771,0.029547,0.029397,0.994914,0.945200,0.002276,0.035400,0.019400,0.115233,1.000000,0.133934,1.008810,0.007105,0.002282,0.070699,0.070666,0.063775,0.902481,0.946000,0.002260,0.020900,0.033100,0.249993,1.000000,0.000943,1.017470,0.007568,0.053535,-0.025962,0.892765,0.952730,0.000000,219.729053,596.899153,37.899995,0.076374,0.229314
GJR-GARCH,t8,low,5000.000000,0.950000,0.001988,0.020764,0.020670,0.020721,1.002501,0.947300,0.002234,0.033600,0.019100,0.081226,1.000000,0.104650,1.000110,0.007099,0.001670,0.049710,0.049685,0.045048,0.906670,0.952900,0.002119,0.020400,0.026700,0.176584,1.000000,0.007874,0.998302,0.007031,0.037037,-0.012075,0.896610,0.939499,0.000000,215.858896,417.859539,41.531186,0.053718,0.158375
