model,distribution,persistence,n,tau,scale,replications,valid_wald,bias,bias_mcse,rmse,rmse_mcse,wald_sd,wald_sd_mcse,coverage,coverage_mcse
GARCH,normal,low,1000,tau_0p05,xi,10000,10000,-0.0016080289584827071,0.00037718609912807636,0.03775098702726187,0.0003043469658790908,1.0172403832359664,0.007586243823511187,0.9452,0.002275894549402497
GARCH,normal,low,1000,tau_0p05,ce,10000,10000,0.00030724699002408453,0.0007479060978093404,0.07478750128588121,0.0008095001781954847,1.042596340517441,0.008230340268467706,0.9421,0.0023355425493876143
GARCH,t8,low,1000,tau_0p01,xi,10000,10000,-0.0002728406627834343,0.0009234313664819022,0.09233892246807408,0.0007793272428965604,1.0734595351994245,0.008189985016947812,0.9316,0.0025243105989556833
GARCH,t8,low,1000,tau_0p01,ce,10000,10000,0.0013120559297009138,0.0018369919415128844,0.1836946947606333,0.0022481816041414987,1.1238264465205603,0.010413723072376951,0.9241,0.0026483804485005545
GARCH,t8,low,1000,tau_0p05,xi,10000,10000,-0.003180714902496497,0.0004673377616868856,0.046839559964762134,0.0003923436685559703,1.0272688137525645,0.007788986721741577,0.9421,0.0023355425493876143
GARCH,t8,low,1000,tau_0p05,ce,10000,10000,-0.0023601322249852375,0.0010080331096925393,0.10082589744571227,0.001405893824702464,1.0591696859699586,0.008806812998110964,0.9383,0.002406098709529598
GARCH,t4,low,1000,tau_0p01,xi,10000,10000,-0.011626737311716,0.0016334089990311263,0.16374603072049165,0.0017841706485487948,1.0933612894969647,0.008652655276780604,0.9277,0.002589839956445186
GARCH,t4,low,1000,tau_0p01,ce,10000,10000,-0.004488375204123508,0.003594805362078522,0.35949058235045145,0.007395791078618651,1.205048336487839,0.012090558702720801,0.8994,0.0030079833776136466
GARCH,t4,low,1000,tau_0p05,xi,10000,10000,-0.011716680700681218,0.0006608453483846031,0.06711191872449267,0.0006392023586832777,1.0649074314990705,0.008391462183342023,0.9291,0.0025665772928162513
GARCH,t4,low,1000,tau_0p05,ce,10000,10000,-0.005794192145722766,0.0016185563705907,0.16195122779927965,0.003920414949301506,1.0949013847026972,0.012540105531798615,0.9317,0.0025226000475699673
